iter	RMSE
0	0.04605246897
1	0.04171683245
2	0.03794808293
3	0.03474038323
4	0.03200737237
5	0.02968870339
6	0.02774609564
7	0.02611419164
8	0.02475141156
9	0.02362452426
10	0.0227140358
11	0.02195340789
12	0.02134512594
13	0.02084846521
14	0.02044469263
15	0.02012259266
16	0.01986698955
17	0.01966179865
18	0.01949457661
19	0.0193649089
20	0.01926035573
21	0.01917744971
22	0.01910931711
23	0.01905401569
24	0.01899926385
25	0.0189546481
26	0.01891656059
27	0.01888664176
28	0.0188670897
29	0.0188509797
30	0.01883701553
31	0.01882667665
32	0.01881271203
33	0.01880380699
34	0.01879590464
35	0.01878892277
36	0.01877991385
37	0.01877482773
38	0.01877104994
39	0.01876665792
40	0.01876074477
41	0.01875781772
42	0.01875276152
43	0.01874941144
44	0.01874382129
45	0.0187410793
46	0.01873618515
47	0.01873350738
48	0.01872971555
49	0.01872638151
50	0.01872449214
51	0.01872189918
52	0.01871745746
53	0.01871500199
54	0.01871343927
55	0.0187123605
56	0.01870921967
57	0.01870749369
58	0.01870538411
59	0.0187039527
60	0.01870191522
61	0.01869883628
62	0.01869778631
63	0.01869553558
64	0.01869460765
65	0.01869332848
66	0.01869229241
67	0.01869057567
68	0.01868946543
69	0.01868895441
70	0.01868817618
71	0.01868764739
72	0.01868645204
73	0.01868593942
74	0.01868542368
75	0.01868470534
76	0.01868404696
77	0.01868268185
78	0.01868124898
79	0.01867836224
80	0.01867791267
81	0.01867654512
82	0.01867579105
83	0.01867519264
84	0.0186747173
85	0.01867344045
86	0.01867304263
87	0.01867084834
88	0.01867038474
89	0.01866938421
90	0.0186676106
91	0.01866723163
92	0.0186662698
93	0.01866520037
94	0.01866430905
95	0.01866303711
96	0.01866254178
97	0.01866228585
98	0.01866193821
99	0.01866013635
100	0.01865866092
101	0.01865799775
102	0.0186576099
103	0.01865655713
104	0.01865593669
105	0.01865550707
106	0.01865461118
107	0.01865420388
108	0.01865371609
109	0.01865299275
110	0.01865258294
111	0.0186521589
112	0.01865108567
113	0.01865078587
114	0.01864996537
115	0.01864926077
116	0.01864868583
117	0.01864833801
118	0.01864764904
119	0.01864630983
120	0.01864491757
121	0.01864396148
122	0.01864329005
123	0.01864117848
124	0.01864015803
125	0.01863760891
126	0.01863719848
127	0.01863678038
128	0.01863628896
129	0.01863557454
130	0.01863478034
131	0.01863383076
132	0.01863343232
133	0.01863273219
134	0.01863203998
135	0.01863131899
136	0.01862959683
137	0.01862892609
138	0.01862732898
139	0.01862665854
140	0.0186263078
141	0.01862584234
142	0.01862494923
143	0.01862447314
144	0.01862371635
145	0.01862319183
146	0.01862269205
147	0.01862237324
148	0.01862175612
149	0.01862108312
150	0.0186202628
151	0.01861983189
152	0.01861863117
153	0.01861790425
154	0.018617469
155	0.01861699894
156	0.01861630364
157	0.01861599887
158	0.01861558683
159	0.01861492454
160	0.01861456048
161	0.0186141498
162	0.01861375539
163	0.01861342899
164	0.01861307466
165	0.01861271059
166	0.01861224443
167	0.01861182461
168	0.01861140134
169	0.01861104568
170	0.01861062388
171	0.01861026883
172	0.01860975523
173	0.01860945533
174	0.01860907557
175	0.01860860612
176	0.01860833053
177	0.01860794392
178	0.01860769851
179	0.01860711157
180	0.01860659278
181	0.01860616124
182	0.01860567286
183	0.01860517188
184	0.01860471122
185	0.01860448282
186	0.01860384531
187	0.01860340913
188	0.01860321718
189	0.01860292897
190	0.0186018524
191	0.01860162011
192	0.01860130943
193	0.01860078251
194	0.01860048128
195	0.01859992348
196	0.0185994066
197	0.01859912584
198	0.01859857454
199	0.01859826103
200	0.01859786023
201	0.01859743292
202	0.01859708208
203	0.01859677256
204	0.01859652741
205	0.01859623872
206	0.01859574958
207	0.01859549118
208	0.01859512653
209	0.01859477891
210	0.01859445101
211	0.01859408138
212	0.0185933695
213	0.0185930752
214	0.01859250888
215	0.01859222456
216	0.01859201127
217	0.01859182855
218	0.01859160759
219	0.01859124451
220	0.01859101271
221	0.01859073926
222	0.0185902046
223	0.01858990487
224	0.01858970725
225	0.01858930887
226	0.01858906554
227	0.01858824222
228	0.01858793422
229	0.01858756099
230	0.01858726449
231	0.018586945
232	0.01858660353
233	0.01858639731
234	0.01858614264
235	0.01858609681
236	0.01858586994
237	0.01858536803
238	0.01858504487
239	0.01858472435
240	0.01858442968
241	0.01858407931
242	0.01858370742
243	0.01858351697
244	0.01858318911
245	0.0185829323
246	0.018582405
247	0.01858219499
248	0.01858187389
249	0.01858156887
250	0.0185813236
251	0.01858111688
252	0.01858084668
253	0.01858046285
254	0.01858025594
255	0.01857997129
256	0.01857929819
257	0.01857910903
258	0.01857883023
259	0.01857868189
260	0.01857827353
261	0.01857793538
262	0.01857771499
263	0.0185769043
264	0.01857659333
265	0.0185761169
266	0.01857584752
267	0.01857562988
268	0.01857540126
269	0.01857504777
270	0.01857482439
271	0.01857449957
272	0.01857423157
273	0.01857393549
274	0.01857372035
275	0.01857356516
276	0.01857289917
277	0.01857259726
278	0.01857238827
279	0.01857236185
280	0.0185720139
281	0.01857125198
282	0.01857091027
283	0.01857064801
284	0.01857044185
285	0.01857015877
286	0.01856990994
287	0.01856965899
288	0.01856928137
289	0.01856910225
290	0.01856892208
291	0.01856855312
292	0.01856828333
293	0.01856792757
294	0.01856769177
295	0.0185674953
296	0.01856712782
297	0.01856661485
298	0.01856618756
299	0.01856613621
300	0.01856581894
301	0.01856557464
302	0.01856522914
303	0.01856504288
304	0.01856483956
305	0.0185646331
306	0.0185642158
307	0.01856405622
308	0.01856371626
309	0.0185634371
310	0.01856292457
311	0.01856267774
312	0.01856243761
313	0.018562095
314	0.01856172606
315	0.01856143672
316	0.01856117598
317	0.01856091869
318	0.01856066858
319	0.01856063978
320	0.01856038804
321	0.01855989507
322	0.01855972327
323	0.01855948451
324	0.01855928495
325	0.01855907554
326	0.01855881312
327	0.01855801155
328	0.01855773282
329	0.01855754699
330	0.0185573492
331	0.0185571442
332	0.01855690864
333	0.01855651569
334	0.01855616712
335	0.01855602994
336	0.01855576887
337	0.01855555443
338	0.01855516446
339	0.01855500992
340	0.01855477024
341	0.01855450064
342	0.01855436668
343	0.01855421483
344	0.01855393498
345	0.0185537907
346	0.01855352687
347	0.01855331992
348	0.01855312917
349	0.01855258831
350	0.01855224498
351	0.01855200713
352	0.01855170731
353	0.01855152858
354	0.01855117102
355	0.01855099837
356	0.01855085301
357	0.01855067592
358	0.01855047403
359	0.01855025965
360	0.01855023164
361	0.01854988896
362	0.01854973879
363	0.0185495616
364	0.01854894376
365	0.01854865923
366	0.01854844803
367	0.0185482162
368	0.01854792392
369	0.0185476546
370	0.0185474913
371	0.01854721335
372	0.01854715266
373	0.01854704822
374	0.01854677814
375	0.01854660413
376	0.01854616745
377	0.01854602748
378	0.01854558642
379	0.01854520577
380	0.01854502114
381	0.0185446444
382	0.01854438236
383	0.01854435856
384	0.01854370114
385	0.01854350982
386	0.01854326087
387	0.01854299728
388	0.01854251617
389	0.01854231573
390	0.01854203543
391	0.01854178818
392	0.01854153159
393	0.01854143752
394	0.01854121428
395	0.01854096864
396	0.01854047239
397	0.01854015919
398	0.01854001049
399	0.0185396427
400	0.01853941743
401	0.01853914098
402	0.01853899645
403	0.01853864923
404	0.01853834
405	0.01853811361
406	0.01853800357
407	0.01853771965
408	0.01853744219
409	0.01853706644
410	0.0185368173
411	0.01853645973
412	0.0185363008
413	0.01853599946
414	0.01853581541
415	0.01853553051
416	0.01853539662
417	0.01853523551
418	0.01853497945
419	0.01853481
420	0.01853467918
421	0.01853411469
422	0.01853391376
423	0.01853376375
424	0.01853368312
425	0.01853337243
426	0.018533188
427	0.01853289225
